"","Date","PM2.5","AQI"
"1","01/01/2024",8.6,48
"2","01/04/2024",7.1,39
"3","01/07/2024",3.2,18
"4","01/10/2024",3.2,18
"5","01/13/2024",4.4,24
"6","01/16/2024",7.8,43
"7","01/19/2024",12.7,58
"8","01/22/2024",9.6,52
"9","01/25/2024",14,60
"10","01/28/2024",3.2,18
"11","01/31/2024",4.9,27
"12","02/03/2024",6,33
"13","02/06/2024",5.7,32
"14","02/09/2024",12,56
"15","02/12/2024",8,44
"16","02/15/2024",5.9,33
"17","02/18/2024",6.8,38
"18","02/21/2024",5.3,29
"19","02/24/2024",7.1,39
"20","02/27/2024",17.3,66
"21","03/01/2024",8.6,48
"22","03/04/2024",5.1,28
"23","03/07/2024",3.2,18
"24","03/10/2024",2.5,14
"25","03/13/2024",9.9,52
"26","03/16/2024",6,33
"27","03/19/2024",4.4,24
"28","03/22/2024",5.4,30
"29","03/25/2024",5.8,32
"30","03/28/2024",7.5,42
"31","03/31/2024",5,28
"32","04/03/2024",4,22
"33","04/06/2024",2.7,15
"34","04/09/2024",9.9,52
"35","04/12/2024",7.5,42
"36","04/15/2024",8.6,48
"37","04/18/2024",5.3,29
"38","04/21/2024",4.7,26
"39","04/24/2024",5.1,28
"40","04/27/2024",5,28
"41","04/30/2024",11.5,55
"42","05/03/2024",5.4,30
"43","05/06/2024",12.9,58
"44","05/09/2024",5,28
"45","05/12/2024",5.2,29
"46","05/15/2024",6.8,38
"47","05/18/2024",9.7,52
"48","05/21/2024",9.2,51
"49","05/24/2024",10.9,54
"50","05/27/2024",8,44
"51","05/30/2024",5.8,32
"52","06/02/2024",11.7,56
"53","06/05/2024",9,50
"54","06/08/2024",3.5,19
"55","06/11/2024",5.1,28
"56","06/14/2024",12,56
"57","06/17/2024",7.8,43
"58","06/20/2024",10.2,53
"59","06/23/2024",10.9,54
"60","06/26/2024",10.5,54
"61","07/02/2024",6.2,34
"62","07/05/2024",27.5,85
"63","07/08/2024",13.5,59
"64","07/11/2024",5.8,32
"65","07/14/2024",10.5,54
"66","07/17/2024",11.5,55
"67","07/20/2024",9.2,51
"68","07/23/2024",9,50
"69","07/26/2024",5.8,32
"70","07/29/2024",13.4,59
"71","08/01/2024",14.6,61
"72","08/04/2024",8.9,49
"73","08/07/2024",5.8,32
"74","08/10/2024",7.5,42
"75","08/13/2024",6.2,34
"76","08/16/2024",16.9,66
"77","08/19/2024",5.3,29
"78","08/22/2024",5.4,30
"79","08/25/2024",14,60
"80","08/28/2024",12,56
"81","08/31/2024",5.4,30
"82","09/03/2024",4.8,27
"83","09/06/2024",6.5,36
"84","09/09/2024",5,28
"85","09/12/2024",8.4,47
"86","09/15/2024",8.6,48
"87","09/18/2024",8.5,47
"88","09/21/2024",6.5,36
"89","09/24/2024",5.4,30
"90","09/27/2024",6.2,34
"91","09/30/2024",5.5,31
"92","10/03/2024",6.8,38
"93","10/06/2024",5.8,32
"94","10/09/2024",4.7,26
"95","10/12/2024",5.7,32
"96","10/15/2024",2.8,16
"97","10/18/2024",7,39
"98","10/21/2024",16.1,64
"99","10/24/2024",6.4,36
"100","10/27/2024",3.8,21
"101","10/30/2024",12.7,58
"102","11/02/2024",2.9,16
"103","11/05/2024",9.3,51
"104","11/08/2024",4.8,27
"105","11/11/2024",5.5,31
"106","11/14/2024",6.5,36
"107","11/17/2024",10.9,54
"108","11/20/2024",8.6,48
"109","11/23/2024",3.8,21
"110","11/26/2024",7,39
"111","11/29/2024",6.4,36
"112","12/02/2024",6.1,34
"113","12/05/2024",6.9,38
"114","12/08/2024",7.1,39
"115","12/11/2024",5.3,29
"116","12/14/2024",6,33
"117","12/17/2024",5.8,32
"118","12/20/2024",5.4,30
"119","12/23/2024",6.9,38
"120","12/26/2024",11.7,56
"121","12/29/2024",7.1,39
"122","01/01/2025",5.5,31
"123","01/04/2025",2.2,12
"124","01/07/2025",2.8,16
"125","01/10/2025",4.3,24
"126","01/13/2025",12.6,58
"127","01/16/2025",10.9,54
"128","01/19/2025",8.3,46
"129","01/22/2025",13.2,59
"130","01/25/2025",12.1,57
"131","01/28/2025",6.8,38
"132","01/31/2025",13.8,60
"133","02/06/2025",7.7,43
"134","02/09/2025",8,44
"135","02/12/2025",13.5,59
"136","02/15/2025",7.4,41
"137","02/18/2025",3.7,21
"138","02/21/2025",6.4,36
"139","02/27/2025",12.6,58
"140","03/02/2025",3.7,21
"141","03/05/2025",8.1,45
"142","03/08/2025",2.8,16
"143","03/11/2025",7.8,43
"144","03/14/2025",6.6,37
"145","03/17/2025",5.6,31
"146","03/20/2025",3.6,20
"147","03/23/2025",3.8,21
"148","03/26/2025",4.2,23
"149","03/29/2025",12.3,57
