Name,Lat,Lon
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",40.758663,-73.981329
Christopher St-Sheridan Sq (1),40.733422,-74.002906
Canal St (1),40.722854,-74.006277
176 St (4),40.84848,-73.911794
"59 St-Columbus Circle (A,B,C,D,1)",40.768272,-73.981833
"Canal St (J,N,Q,R,W,Z,6)",40.718701,-74.00058
Lorimer St (L)/Metropolitan Av (G),40.713428,-73.950847
96 St (Q),40.784318,-73.947152
"Lexington Av (N,R,W)/59 St (4,5,6)",40.762593,-73.967613
"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",40.712603,-74.009552
"34 St-Penn Station (A,C,E)",40.752287,-73.993391
"Church Av (2,5)",40.650843,-73.949575
E 149 St (6),40.812118,-73.904098
Mets-Willets Point (7),40.754622,-73.845625
86 St (Q),40.777891,-73.951787
"23 St (F,M)",40.742878,-73.992821
"W 4 St-Wash Sq (A,C,E,B,D,F,M)",40.732338,-74.000495
18 Av (D),40.607954,-74.001736
"57 St-7 Av (N,Q,R,W)",40.764664,-73.980658
"36 St (D,N,R)",40.655144,-74.003549
45 St (R),40.648939,-74.010006
Bay Ridge Av (R),40.634967,-74.023377
"65 St (M,R)",40.749669,-73.898453
110 St (6),40.79502,-73.94425
"Astoria-Ditmars Blvd (N,W)",40.775036,-73.912034
"39 Av-Dutch Kills (N,W)",40.752882,-73.932755
104 St (A),40.681711,-73.837683
"Northern Blvd (M,R)",40.752885,-73.906006
79 St (1),40.783934,-73.979917
85 St-Forest Pkwy (J),40.692435,-73.86001
Jefferson St (L),40.706607,-73.922913
East 105 St (L),40.650573,-73.899485
"103 St (C,B)",40.796092,-73.961454
Beach 25 St (A),40.600066,-73.761353
116 St (6),40.798629,-73.941617
"116 St (C,B)",40.805085,-73.954882
Shepherd Av (C),40.67413,-73.88075
Castle Hill Av (6),40.834255,-73.851222
40 St-Lowery St (7),40.743781,-73.924016
Cathedral Pkwy (110 St) (1),40.803967,-73.966847
"Lexington Av-53 St (E,M)/51 St (6)",40.75733,-73.970487
"Queens Plaza (E,M,R)",40.748973,-73.937243
23 St (6),40.739864,-73.986599
DeKalb Av (L),40.703811,-73.918425
"125 St (A,C,B,D)",40.811109,-73.952343
Beach 36 St (A),40.595398,-73.768175
Nassau Av (G),40.724635,-73.951277
Van Cortlandt Park-242 St (1),40.889248,-73.898583
"Pelham Pkwy (2,5)",40.857192,-73.867615
"DeKalb Av (B,Q,R)",40.690635,-73.981824
Livonia Av (L),40.664038,-73.900571
"Simpson St (2,5)",40.824073,-73.893064
