"","Name","Lat","Lon","in_CBD.x","in_CBD.y"
"1","47-50 Sts-Rockefeller Ctr (B,D,F,M)",40.758663,-73.981329,1,1
"2","Christopher St-Sheridan Sq (1)",40.733422,-74.002906,1,1
"3","Canal St (1)",40.722854,-74.006277,1,1
"4","176 St (4)",40.84848,-73.911794,0,0
"5","59 St-Columbus Circle (A,B,C,D,1)",40.768272,-73.981833,0,0
"6","Canal St (J,N,Q,R,W,Z,6)",40.718701,-74.00058,1,1
"7","Lorimer St (L)/Metropolitan Av (G)",40.713428,-73.950847,0,0
"8","96 St (Q)",40.784318,-73.947152,0,0
"9","Lexington Av (N,R,W)/59 St (4,5,6)",40.762593,-73.967613,0,0
"10","Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",40.712603,-74.009552,1,1
"11","34 St-Penn Station (A,C,E)",40.752287,-73.993391,1,1
"12","Church Av (2,5)",40.650843,-73.949575,0,0
"13","E 149 St (6)",40.812118,-73.904098,0,0
"14","Mets-Willets Point (7)",40.754622,-73.845625,0,0
"15","86 St (Q)",40.777891,-73.951787,0,0
"16","23 St (F,M)",40.742878,-73.992821,1,1
"17","W 4 St-Wash Sq (A,C,E,B,D,F,M)",40.732338,-74.000495,1,1
"18","18 Av (D)",40.607954,-74.001736,0,0
"19","57 St-7 Av (N,Q,R,W)",40.764664,-73.980658,1,1
"20","36 St (D,N,R)",40.655144,-74.003549,0,0
"21","45 St (R)",40.648939,-74.010006,0,0
"22","Bay Ridge Av (R)",40.634967,-74.023377,0,0
"23","65 St (M,R)",40.749669,-73.898453,0,0
"24","110 St (6)",40.79502,-73.94425,0,0
"25","Astoria-Ditmars Blvd (N,W)",40.775036,-73.912034,0,0
"26","39 Av-Dutch Kills (N,W)",40.752882,-73.932755,0,0
"27","104 St (A)",40.681711,-73.837683,0,0
"28","Northern Blvd (M,R)",40.752885,-73.906006,0,0
"29","79 St (1)",40.783934,-73.979917,0,0
"30","85 St-Forest Pkwy (J)",40.692435,-73.86001,0,0
"31","Jefferson St (L)",40.706607,-73.922913,0,0
