Original_dimension: 54228 
 Reduced_dimension: 10 

PC	VarExpl	CumVarExpl	Original_dimension	Reduced_dimension	total_variance_explained_up_to_K
1	0.380912473038778	0.380912473038778	54228	10	0.0748534940164506
2	0.297451772922093	0.678364245960871	54228	10	0.0748534940164506
3	0.0893255591911295	0.767689805152001	54228	10	0.0748534940164506
4	0.055013965168274	0.822703770320275	54228	10	0.0748534940164506
5	0.043235482992379	0.865939253312654	54228	10	0.0748534940164506
6	0.0348156722647595	0.900754925577413	54228	10	0.0748534940164506
7	0.0283232922524933	0.929078217829907	54228	10	0.0748534940164506
8	0.0255904278619721	0.954668645691879	54228	10	0.0748534940164506
9	0.0237637566746116	0.97843240236649	54228	10	0.0748534940164506
10	0.0215675976335098	1	54228	10	0.0748534940164506
